Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,US,UK,DE,AU,JP,AT,BE,CA,CH,ES,FR,ID,IN,IT,MX,NL,RU,TH,TR,ZA,AE,BR,CO,DK,HK,IE,LU,MY,NO,NZ,PH,PL,SE,SG,TW,AR,CL,CR,CZ,EC,EE,EG,FI,GR,GT,HU,IL,KE,KZ,LB,LT,NG,PE,PT,RO,SA,SI,SK,UA,VN
129,-22,King & Prince - I Know,6,78,,1368,-204,0.01,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,-37,sombr - back to friends,15,76,,1359,-361,0.05,187,,105,94,,,,131,34,,,135,,111,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,14,Black Sabbath - Iron Man,19,7,,1356,73,0.108,65,153,,192,,,,82,,,,,,,,,,,,,,127,,,197,,,,64,21,,24,,,,,,,,,,,,,,,,,,,,,,,,,,71,,
132,-15,Richard Marx - Magic Hour,3,117,,1341,-138,0.004,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,5,HANA - Blue Jeans,25,99,,1315,-26,0.037,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,42,YUNGBLUD - I Was Made For Lovin’ You,42,47,,1293,206,0.128,108,75,,198,,,,102,,,,,,,,,,,,103,48,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,22,Contec & Lina Maly - Als du gingst,79,71,,1290,73,0.122,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,NEW,Jupiter & F-LAGS - GRAND-NEW UNIVERSE,1,136,,1290,1290,0.001,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,11,TENBLANK - Crystalline Echo,4,137,,1284,26,0.008,,,,,31,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,
138,NEW,Nina Chuba - Wenn das Liebe ist,23,45,,1274,579,0.069,,,36,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,-12,神山羊×YOSUKE from SPYAIR - Subarashisekai,3,127,,1265,-157,0.004,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,25,Drake & Central Cee - Which One,9,30,,1255,81,0.027,53,107,,,,,,177,,,,,,,,50,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,-55,Forrest Frank - YOUR WAY'S BETTER,97,36,,1252,-526,0.192,15,,,,,,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,NEW,Bad Bunny - NUEVAYoL,93,11,,1251,933,0.296,,,,,,,65,,,13,,,,,,,,,,,16,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,35,The Goo Goo Dolls - Iris,250,34,,1250,176,1.315,79,101,134,,,,,60,,,,,186,,,,,,,,,65,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,10,Bailey Zimmerman & Luke Combs - Backup Plan,72,24,,1248,19,0.132,36,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,NEW,Col Joy - Bye Bye Baby,1,145,,1241,1241,0.001,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,NEW,ABBA - Dancing Queen,80,9,,1230,789,0.946,,,172,,,,,,90,50,,29,,,168,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,
147,67,Nate Smith - Fix What You Didn't Break,15,31,,1230,314,0.129,46,,,188,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,7,LBI - Jumping Machine,137,54,,1229,2,0.239,,,,,,,,,,,,,,,,,,3,,,,,,,65,,,25,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,
149,-59,Luke Combs - Back in the Saddle,13,28,,1227,-528,0.039,76,143,,56,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,-3,Mrs. Green Apple - Lilac,454,79,,1217,-48,0.628,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,23,Lost Frequencies & The Temper Trap - Sweet Disposition,13,151,,1216,127,0.046,,,,71,,,22,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,NEW,Pommelien Thijs - Atlas,43,106,,1213,416,0.115,,,,,,,1,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,-58,Phil Wickham - What An Awesome God,61,31,,1196,-509,0.14,26,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
