Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,US,UK,DE,AU,JP,AT,BE,CA,CH,ES,FR,ID,IN,IT,MX,NL,RU,TH,TR,ZA,AE,BR,CO,DK,HK,IE,LU,MY,NO,NZ,PH,PL,SE,SG,TW,AR,CL,CR,CZ,EC,EE,EG,FI,GR,GT,HU,IL,KE,KZ,LB,LT,NG,PE,PT,RO,SA,SI,SK,UA,VN
15,-2,"Rumi, JINU, EJAE, Andrew Choi & KPop Demon Hunters Cast - Free",47,13,,7601,125,0.259,22,27,34,27,,,,28,,,37,13,,97,34,,,16,,,12,,,,16,,,,,,6,,,31,19,,,,,,,,,,,,,,,,,,,,,,,,,
16,2,Benson Boone - Beautiful Things,566,1,(x35),7433,313,6.054,21,35,145,13,,,,21,13,3,40,32,,65,,,,,,13,,5,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,
17,-6,Justin Bieber - DAISIES,27,4,,7150,-713,0.23,18,20,60,9,,,29,9,89,,,,173,,16,,,48,,135,,55,,,,4,,,46,,46,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,88
18,-1,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast - How It’s Done",13,17,,6897,-231,0.068,20,19,31,21,,,,24,,71,90,22,,100,,,,,,,59,,,29,21,,,,,60,7,,44,25,,,,,,,,98,,,,,,,,,,,,,,,,,,
19,2,Chappell Roan - Pink Pony Club,381,8,,6870,1491,1.766,8,10,51,23,,,59,5,,,43,,,62,,,,151,,41,,,,46,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,
20,-6,Ozzy Osbourne - Dreamer,18,3,(x2),5984,-1411,0.234,38,22,15,41,,,,16,,,,,,133,71,,35,,,,,30,,,,,,,8,42,,16,,69,,,,,,,,,,,,,,,,56,,,,,,,,,,
21,5,Lewis Capaldi - Survive,41,2,(x4),5384,577,0.319,,8,66,33,,6,132,,6,,,,,20,,,,,,,2,,,,,12,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,
22,7,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast - Takedown",12,22,,5296,687,0.048,31,18,43,26,,,,45,69,47,105,165,,,190,,,94,,,,,,9,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,7,Calvin Harris & Clementine Douglas - Blessings,90,13,,5139,553,0.423,,16,11,,,,2,,16,,189,,,,141,6,,,,,3,,,,,,,,,,,46,,,,,,,,,,,,97,,,,,,,,,,,,,,,,
24,-9,Black Sabbath - Paranoid,27,2,(x3),5129,-2183,0.337,39,30,21,47,,,,43,,,183,,,,7,,,,,,,26,,,,,73,84,,17,,,,,,,,,,,,,8,,,,,,,,,,,,107,,,,,
25,-5,Teddy Swims - Lose Control,759,1,(x6),5089,-735,6.394,17,127,162,19,,,,8,30,,47,166,,,29,,,,,,,53,,,,,,,,20,,,27,,,,,,16,,,,,,,,,,,,,,,,,,,,,
26,7,Lady Gaga - Always Remember Us This Way,2155,2,(x18),5005,609,8.691,45,41,45,51,,,,23,,75,121,76,,27,32,52,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,-5,Ozzy Osbourne - Crazy Train,20,6,,4903,-337,0.214,11,37,62,32,,,,29,,,,,,49,,,,,,,,162,,53,,,,,,15,,61,25,,,,,,,,,,163,,,,,,,,,,,,,,,,,
28,-4,Billie Eilish - BIRDS OF A FEATHER,447,1,(x16),4691,-297,5.117,91,74,53,85,,,,42,27,,175,20,,,40,,,15,,,,8,128,,,,,,,43,,,,,,128,12,,,,,,,,,7,,,,,17,83,,,,,91,,,22
29,3,Shaboozey - A Bar Song,482,1,(x3),4567,139,4.085,24,46,92,38,,,,13,128,,,56,,,,,,,,28,,,,122,,,85,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,8,WizTheMc & bees & honey - Show Me Love,137,27,,4534,893,0.373,,140,14,,,,30,,9,,198,,78,73,,4,,,30,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,84,26,,
31,-6,Disco Lines & Tinashe - No Broke Boys,47,25,,4486,-361,0.134,113,6,48,7,,,,14,177,,,,,180,,,,,,,,,,,,192,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,
32,3,Doechii - Anxiety,155,1,(x17),4374,396,1.766,90,110,41,99,,,4,69,,42,18,108,,63,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,77,
33,10,Lady Gaga - Abracadabra,185,1,(x4),4236,781,2.034,181,137,10,64,,17,,112,25,,9,,,,,,,,,,,,,,,,,,5,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,
34,13,Disturbed - The Sound of Silence,1807,1,(x2),4228,1034,9.713,85,49,64,78,,122,58,97,134,70,17,192,,84,84,56,,,,,,,,,,193,,,,16,,49,,,,,,,28,,,,,,,94,,,,,,,,,,,52,,,
35,-1,Benson Boone - Mystical Magical,104,9,,4122,113,0.545,37,44,,30,,,,25,,,25,,,29,,,,,,,,,,,,195,,,,139,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,-9,Max McNown - Better Me For You,134,27,,4113,-659,0.324,5,47,128,37,,,,4,,,,,,,,,,,,,,,,81,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,
37,-14,"Tyler, The Creator - Ring Ring Ring",16,17,,4042,-1146,0.076,55,84,167,68,,,34,75,,,,,103,,11,,,,,42,,,113,13,,14,,,,,,3,,,,,,,,,,,,,54,95,,,,,,,,,,,81,,78,
38,-7,Teddy Swims - Bad Dreams,328,1,(x1),3933,-511,2.943,40,23,83,58,,,,36,,,69,101,,,,,,,,,,,,,,20,,,,,15,,,,,,,,,,,,,,,,,,,,16,,,,,,58,,79,
39,-11,Miley Cyrus - End of the World,125,1,(x2),3875,-754,0.951,,,5,126,,8,,,18,76,,,,186,,11,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,16,"MOLIY, Silent Addy, Skillibeng & Shenseea - Shake It To The Max",110,9,,3505,790,0.427,173,32,33,,,,18,50,,,70,,,,,54,196,,,,,,,,,,,59,,,,35,,,,,,,,,,,,,,,,,,,,138,,,,90,,,,
41,-4,Alex Warren - Eternity,20,14,,3450,-251,0.084,70,14,142,55,,,,67,,,,,,,,21,,,,,,,,,,,,,,49,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2,Sabrina Carpenter - Manchild,62,3,(x1),3441,6,0.356,64,48,122,46,,88,,33,99,147,,160,,141,82,,,170,,,,18,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,8,"HUGEL, Topic & Arash - I Adore You",364,20,,3326,417,1.014,,,20,,,,126,,38,17,41,,,168,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,59,7,,,,59,,
44,14,YUNGBLUD - Zombie,66,18,,3247,606,0.221,84,36,86,130,,,127,38,142,,,,,137,102,188,,,,35,82,,,48,,,98,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,NEW,Max McNown - Same Questions,41,10,,3234,2620,0.172,139,42,,59,,24,37,61,63,,,,,,,,,,,,,,,,,,,,24,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,-1,David Guetta & Sia - Beautiful People,153,16,,3138,-289,0.715,,135,17,,,,42,,17,,49,,,,,42,,,,,,,,,,,,,33,122,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,
47,82,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast & David Guetta - Golden",8,47,,3133,1730,0.017,,,125,,,22,,,174,19,,14,,,,,,8,,,,,,,,,,7,,,11,,,,,,168,,,,,,,,,,,,,,,,,,,,,,,
48,1,Ed Sheeran - Old Phone,97,9,,3086,91,0.394,,82,73,35,,79,,,10,,,,,,,49,,,,,,38,,,,,84,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,18,Ac/Dc - Thunderstruck,801,21,,3075,926,3.442,119,69,61,69,,,,116,,65,,,,72,,61,128,,,,,,,,,,,,2,35,,,40,,,,,,,,,,,2,,,,,,,,,,,,,,,,
50,-4,Black Sabbath - Changes,19,8,,3007,-260,0.105,41,45,,49,,,,37,,,,,,67,103,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,-15,Fantomel & KATE LINN - Dame Un Grrr,47,28,,2894,-809,0.136,,,95,,,80,83,,,,12,194,,172,,157,144,37,,30,,,,,,,,9,88,,31,,,,,,,,,,,,90,,,,,,,,,,,90,,58,,6,,
52,21,Tate McRae - Just Keep Watching,69,10,,2835,824,0.186,59,130,137,62,,,72,134,14,,138,,40,,,,,,,,,,,,,,,,,64,,,187,,,,,,7,,,,,,,,,,,,,,,,,,,49,,
53,-14,Ozzy Osbourne - No More Tears,20,12,,2786,-826,0.119,27,83,170,66,,,,31,,,,,,,,,,,,,,11,,,,,,,,46,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,-14,Tommy Cash - Espresso Macchiato,96,5,,2756,-841,0.497,,,75,,,1,46,,22,44,,,,,,,,,,,,,,14,,,,,98,,,,,,,,,,,,,,,8,,,,,,,93,,,,,,,,,
55,-13,Levi Heron - The Glen,89,13,,2753,-722,0.412,,26,25,172,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,
56,-2,Drake - NOKIA,173,2,(x2),2701,-46,1.337,122,117,,133,,,,55,,,,,52,,,89,,31,161,4,97,,198,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,38,,,,,9,,,
57,-5,Myles Smith - Stargazing,454,6,,2664,-174,2.275,52,55,,86,,,,54,11,,,153,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,64,,,,,,,,,,,,,,,,
58,12,Bleu Soleil & LUIZA - Soleil Bleu,33,58,,2594,518,0.079,,,,,,86,20,,1,,1,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,5,KAMRAD - Be Mine,83,41,,2527,302,0.193,,,7,,,21,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,-1,Alex Warren & Jelly Roll - Bloodline,57,40,,2521,97,0.148,,52,,12,,,,156,41,,,,,,,,,,,150,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,-6,sombr - undressed,86,44,,2505,-238,0.179,174,33,139,28,,,,93,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,5,,,,
62,9,Chris Brown - It Depends,13,24,,2454,398,0.039,16,60,,146,,,,,,,,,,,,104,,,,27,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,-13,Forrest Frank & The Figs - LEMONADE,6,47,,2411,-571,0.016,4,141,,137,,,,64,,,,,,,,,,,,67,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,
64,34,Crash Adams - New Heart,19,38,,2394,731,0.054,118,81,199,,,,,,158,77,174,44,,68,,,,,,108,,,,,,,,3,18,,,,,35,,,,,17,,,,,,,100,,,,,,,,,,23,,61,11,
65,-12,Ravyn Lenae - Love Me Not,71,44,,2389,-442,0.144,100,99,116,122,,,41,128,39,,,,,,,64,,,,149,,,,,,,,,,,,8,93,,,,,,,,,,,,,12,,,,,,,,93,,,,64,,
66,-18,Teddy Swims - The Door,565,8,,2341,-720,3.2,62,58,,39,,,,44,179,,,,,,,,,,,,,90,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,121,,,,,
67,-7,"YUNGBLUD, Nuno Bettencourt & Frank Bello - Changes",19,2,(x1),2328,-35,0.151,107,38,82,82,,,,34,,,,,,,,136,,,,132,,,,,,,,,,80,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,
68,-5,TWICE - TAKEDOWN,41,44,,2290,34,0.091,121,78,39,73,,,,138,,,,,,,170,,,,,,,,,88,27,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,120
69,149,G-Eazy - Lady Killers II,27,65,,2267,1362,0.055,,,,,,,,,,,,6,,,24,,,138,,55,,,2,,,,,,,,12,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,102
70,109,Sia - Unstoppable,1805,3,(x7),2237,1179,6.998,135,111,88,177,,,,,,,,,67,59,,22,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,153
71,69,Justin Bieber - YUKON,5,71,,2228,912,0.018,60,65,121,54,,,,46,,,181,193,,,,,,,,,,,,,,,,,,,,157,,,,,,,42,,,,,,,,,,,,,,64,63,,,,,,
72,50,Journey - Don't Stop Believin',560,20,,2221,771,3.181,193,,54,125,,,28,107,61,100,,,,155,49,,,,,,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
73,122,"HUGEL, Dawty & Preston Harris - Loosen Up",4,68,,2208,1223,0.014,,,35,,,,25,,161,31,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,
74,8,Coldplay - Viva la Vida,1812,7,,2175,363,6.659,,105,,196,,,,194,,12,77,,,,192,,,,,100,17,,107,,,,,50,10,,41,,,,,103,,,,,5,,,,,,,,,,,,,,,68,,,,
75,-34,Arden Cho & Cha Eun-Woo - Free,2,41,,2122,-1414,0.006,,,,,,,,,,,,,,,25,,,23,,,,,,,9,,,,,,9,,,5,14,,,,,,,,,,98,,,,,,,,4,,,,,,,
76,-7,Trinix & Mariana Froes - Vaitimbora,44,60,,2105,-6,0.087,,,,,,,10,,50,120,36,,,25,,,,,,,,196,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,
77,-15,MK - Dior,52,33,,2102,-205,0.103,,15,,,,,16,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,
78,-3,Black Sabbath - War Pigs,18,10,,2080,135,0.084,58,71,149,95,,,,,,,,,,,,38,,,,,,,,,,,3,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,46,Ricchi & Poveri - Sarà perché ti amo,535,28,,2057,630,1.242,,,38,,,72,17,,,,57,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,NEW,Jordan Davis & Marcus King - Louisiana Stick,1,80,,2000,2000,0.002,9,98,141,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,7,Miley Cyrus - Flowers,902,1,(x119),1993,229,7.356,,53,91,,,67,,164,,124,46,,,,,,,,,101,,123,,,35,,,,,,,,,,,,,,,,,,165,,,,,,,,,,14,,9,,,,,
82,-14,Ed Sheeran - Perfect,2936,1,(x62),1989,-133,15.445,,,126,139,,,,159,20,20,193,,,,,,,,,,,,,,,33,,,11,,,,,,,182,15,,21,,,,,,,,,,,,,,,,,,,,,
83,NEW,ZEE PRUK & NuNew - ฟ้าที่เคียงเธอ,1,83,,1981,1981,0.002,,,,,,,,,,38,,,,,,,,1,,,,3,,,14,,,47,,,,,,,46,,,,,,,,,,,,,,,,,,63,,,,,,,
84,NEW,Crash Adams - Optimist,5,76,,1972,1972,0.011,13,,,,,,,10,,,,,,,,,,,,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,7,RIAN - Hausparty,32,85,,1953,207,0.069,,,18,,,3,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,23,LiSA - Shine in the Cruel Night,19,66,,1936,368,0.04,,,,,2,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,
87,NEW,Steve Ray Ladson - Back Of My Truck,4,78,,1864,1864,0.009,12,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,17,Ati242 - Her Nerdeysen,97,17,,1817,236,0.287,,,,,,,63,,,,,,,,,27,,,1,,,,,,,,,,,,,10,,,,,,,,,,139,,,,,,,,,,,,,81,,,,91,123
89,26,Benson Boone - Sorry I'm Here For Someone Else,160,10,,1806,277,0.609,114,100,146,72,,,,78,32,,,,,,,,,,,156,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,
90,-18,Lewis Capaldi - Someone You Loved,1399,1,(x1),1806,-227,6.606,142,77,,70,,,,65,,73,188,,,,,,,,,,,43,149,,138,24,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,
91,95,Alex Warren - Carry You Home,373,25,,1790,750,0.921,,64,,127,,,,72,23,,100,,,,,,,,,76,,,,131,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,21,Damiano David - Next Summer,154,21,,1785,247,0.37,,,,,,,3,,101,,27,,,60,,,,,,,,,,,,,,,,,,55,124,,,,,,,,,,,,,,,,72,,,,,,,,,,,
93,37,Hans Zimmer - F1,39,17,,1776,375,0.112,,,,,,,,,,48,60,,9,,,,,,,,,,,,128,,41,51,,,,,,,29,,,,,,,145,,,,16,,,,,,,,,,,,,,
94,-3,Falling In Reverse - God Is a Weapon,36,9,,1772,22,0.109,137,194,85,112,,,,,,,107,,,,188,,11,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,3,
95,-29,Pietro Basile - Gianna,106,39,,1769,-394,0.237,,,29,,,2,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,NEW,OFFICIAL HIGE DANDISM - Rashisa,1,96,,1754,1754,0.002,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,
97,-18,Cyril - Stumblin' In,592,5,,1749,-108,3.19,,,32,108,,,,,,58,,,,,,110,,,,,,,,,,,,,,45,,,,,,,,,18,,,,,,16,,,,,,,,,,13,,,,,
98,-13,Oimara - Wackelkontakt,202,22,,1678,-103,0.608,,,13,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,-21,Fujii Kaze - Love Like This,6,49,,1672,-214,0.014,,,,,14,,,,,,,,,,,,,85,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
