Year,Total_Foreign_Born,diversity
1880,6679943,8.155551542528654
1890,9249547,8.572740889471905
1900,10341276,8.845050583886813
1910,13515886,8.978386279678759
1920,13920692,9.103504556520125
1930,14204149,9.00282295307138
1960,9738091,9.153282901381546
1970,9619302,9.446291704730971
1980,14079906,9.751491952151277
1990,19767316,10.095077942259335
